x,c03,observed_z03,m0_pole,m1_pole_lzeros,m2_pole_lzeros_cross,split
2750,-417.9900134330278,-0.0028984570217211246,-0.0030135736946630366,-0.0029266964444551197,-0.002928020757560416,discovery
2774,-416.693453202701,-0.0028520490615706077,-0.003000509007299478,-0.0028794067814867075,-0.0028811897263734355,discovery
2798,-415.2807268320862,-0.0028058872184719536,-0.0029876127770952334,-0.0028329317431130567,-0.00283471996198008,discovery
2822,-413.79525703208674,-0.0027602600150062437,-0.002974881414725806,-0.0027872804561951195,-0.0027886856020421526,discovery
2847,-412.23163353037853,-0.0027136892521000015,-0.0029617911399451298,-0.0027406108726317716,-0.0027416195613975485,discovery
2871,-410.6905786204684,-0.002669715305813616,-0.002949385677506274,-0.0026966667755022773,-0.002697316187000668,discovery
2896,-409.0480259088549,-0.0026246806214779966,-0.0029366276556007983,-0.002651807202031014,-0.0026519106735903675,discovery
2921,-407.3726294379662,-0.0025804444290651552,-0.0029240337745346902,-0.0026079395309086414,-0.0026072515489179568,discovery
2947,-405.62986602170236,-0.0025354772626623016,-0.002911106508687299,-0.0025635174714507504,-0.0025619380611265575,discovery
2972,-404.0782610937877,-0.0024939760520965196,-0.0028988367646738413,-0.002522212358775829,-0.0025200489118745303,discovery
2998,-402.6468498362017,-0.002452883167237752,-0.0028862393866874794,-0.0024810873297769144,-0.002478651890583683,discovery
3024,-401.46856218938365,-0.0024142312234635304,-0.002873804826121431,-0.0024422373290166363,-0.00243972285870804,discovery
3050,-400.60919937499284,-0.0023783247696335095,-0.002861529605648219,-0.0024060269647262077,-0.002403613403291211,discovery
3077,-400.1256001906695,-0.002344256313022881,-0.002848947295800483,-0.0023715092727094717,-0.0023693458993727153,discovery
3104,-400.10782260380074,-0.002313633018405101,-0.002836529515005732,-0.0023403345394967146,-0.002338520394808027,discovery
3131,-400.60746758843743,-0.0022866223240346623,-0.002824272708544156,-0.0023126271428773977,-0.0023113077127156004,discovery
3158,-401.62529409091076,-0.0022630954322596336,-0.0028121734282967295,-0.0022884547852565266,-0.0022876645412964794,discovery
3185,-403.1634226975402,-0.00224293644899602,-0.002800228328669942,-0.0022678431608410352,-0.0022674143024374272,discovery
3213,-405.35347511550117,-0.0022257060805029516,-0.002788000198943166,-0.00225023188505143,-0.002250066772621402,discovery
3241,-408.22183678666534,-0.0022124715045719378,-0.002775930877344139,-0.0022364522452344004,-0.0022366997453067785,discovery
3269,-411.7726724919685,-0.0022031047162561408,-0.0027640169559361065,-0.0022265006420042256,-0.0022273263896376637,discovery
3297,-416.0182569098033,-0.0021975257326515684,-0.002752255128296724,-0.0022203367529756955,-0.002221723234651337,discovery
3326,-421.1405987631674,-0.0021955520780314896,-0.002740230151956157,-0.002217815790487924,-0.0022196879049257855,discovery
3355,-426.9675969445625,-0.002197131904027925,-0.0027283614270042695,-0.002218988654985779,-0.0022212126837642923,discovery
3384,-433.4487259641992,-0.0022018726611666693,-0.0027166455986327824,-0.002223556059374668,-0.002225970238782965,discovery
3413,-440.6095683389158,-0.0022097823054704176,-0.002705079412016603,-0.0022312352779050317,-0.002233799995348137,discovery
3443,-448.69622900827653,-0.0022209914441650097,-0.002693268500945074,-0.0022422274906513007,-0.0022449767095674804,discovery
3473,-457.42389421912594,-0.002234918404421012,-0.0026816109574033073,-0.0022561587233391684,-0.0022588814966630092,discovery
3503,-466.7349629783839,-0.0022511795192936275,-0.00267010349067763,-0.0022728833142251037,-0.002275118122522221,discovery
3533,-476.6414740052551,-0.0022697413661725094,-0.0026587429080630796,-0.0022922107542995168,-0.0022936527939837726,discovery
3564,-487.5372937571319,-0.0022914020603023596,-0.0026471546588622235,-0.0023146364114279465,-0.0023152338989676866,discovery
3595,-499.0237951678473,-0.0023151168329717613,-0.0026357166243960845,-0.00233920242746856,-0.002338944349382177,discovery
3626,-511.0874405894847,-0.00234074179182687,-0.0026244255871512453,-0.002365523386482683,-0.002364455877344332,discovery
3658,-524.0795749393264,-0.0023688179345210834,-0.002612921200422684,-0.002394128210503319,-0.0023924978450925037,discovery
3689,-537.1904383398496,-0.002397536850416377,-0.002601919378082591,-0.0024228404517038058,-0.0024209970719994717,discovery
3721,-551.1020875392978,-0.0024279657219736356,-0.0025907071767011535,-0.002453090259686039,-0.0024513742713255225,discovery
3754,-565.8041959413458,-0.002459941398830298,-0.002579295075989961,-0.0024844459839751267,-0.002483165817085748,discovery
3786,-580.219303956469,-0.002490699073973552,-0.0025683715961977273,-0.002514511363965338,-0.002513709529210429,discovery
3819,-595.0888546362683,-0.002521490457473296,-0.002557250863955327,-0.0025446909695375003,-0.0025442473389107414,discovery
3852,-609.8277965059601,-0.0025508081642290816,-0.002546273346151968,-0.0025736557758019064,-0.002573373750717533,discovery
3886,-624.8331256618721,-0.0025793474722732358,-0.002535109747091881,-0.002601956605853251,-0.0026016283756152506,discovery
3920,-639.5842358571908,-0.0026059654313300602,-0.002524091705506576,-0.00262850758628087,-0.002627965135839877,discovery
3954,-654.0548364962316,-0.002630626338039664,-0.0025132160855398087,-0.0026531519977964833,-0.0026522989970239027,discovery
3988,-668.1849552594938,-0.0026531632216865906,-0.002502479845108944,-0.0026757374990169325,-0.0026745741437458528,discovery
4023,-682.374644665686,-0.002674224309201102,-0.0024915703088770162,-0.0026967103355249704,-0.0026953034133967396,discovery
4058,-696.1621999592362,-0.0026930373351380416,-0.002480802219860943,-0.0027153241561521948,-0.0027138373899949987,discovery
4093,-709.615418650408,-0.0027099446861088504,-0.0024701725476964287,-0.0027316123595354544,-0.0027303431104660244,discovery
4128,-722.6353331419231,-0.0027246433341354768,-0.002459678352138671,-0.0027456387647661154,-0.0027447728247877315,discovery
4164,-735.5174931504341,-0.002737328536639877,-0.0024490226557442583,-0.0027577409891875126,-0.002757126864767767,discovery
4200,-747.802530646375,-0.002747343704496799,-0.0024385042564285097,-0.0027674704700032787,-0.0027668526768542885,discovery
4237,-759.8787323118008,-0.0027552219744394805,-0.002427833676291801,-0.0027749688457561913,-0.0027743369017143803,discovery
4274,-771.3831751223447,-0.002760694724596733,-0.002417301960536697,-0.0027799420821119944,-0.0027794691997785575,discovery
4311,-782.3083897413144,-0.002763827625874896,-0.0024069061231469474,-0.0027824531729968996,-0.0027822893537572677,discovery
4348,-792.6638040642788,-0.0027647427255822845,-0.002396643267232081,-0.002782588287411112,-0.0027828485566361596,discovery
4386,-802.6920953658923,-0.002763414583624624,-0.00238623850609716,-0.0027803435974229546,-0.0027811501636091245,discovery
4424,-812.043382710056,-0.00275966619864837,-0.0023759680922251693,-0.002775794224512814,-0.002777147059980501,discovery
