chi3_zero_height,zero_index,ordinate,theoretical_real,theoretical_imag,estimated_real,estimated_imag,amplitude_ratio,phase_error
143.0,43,94.39435879716339,-1.2535557565988782e-08,-1.0646398074055157e-09,3.5182778265528665e-07,-4.660202970894133e-10,27.965731756018435,3.055541812446032
143.0,44,96.8742520897853,-1.130314075707073e-08,-9.352970168805295e-10,-1.927945655531815e-07,4.6834015937671273e-07,44.655317009901935,-1.2628416586085633
143.0,45,98.12645490424191,-1.0738362441877876e-08,-8.771798891018551e-10,4.4488195916757113e-07,-1.3920419748489434e-07,43.26586874281721,2.7568365247822912
143.0,46,99.5334892640586,-1.0145172227076273e-08,-8.169643652979626e-10,-3.2207024083176295e-07,2.8222451277588176e-07,42.07391057690996,-0.7999099165551604
143.0,47,101.37496346790002,-9.429325088325883e-09,-7.454751262609224e-10,1.6213108299940358e-08,6.366170832491558e-07,67.32640895764548,-1.6751535443473904
143.0,48,102.11636184506494,-9.159001230161013e-09,-7.188272838745378e-10,-6.334565219141121e-07,-5.519309103458066e-07,91.45100119804776,0.6384081928141185
143.0,49,104.76537547016451,-8.26888184003761e-09,-6.325017102509021e-10,-1.364558428677827e-07,-4.107072908559371e-07,52.186246452394606,1.1736815733557633
143.0,50,106.24606184887637,-7.818313610806334e-09,-5.896745158603901e-10,3.4990842437660746e-07,9.768772923846412e-08,46.33479575086394,-2.944623401051495
143.0,51,107.97031611713811,-7.331600554144602e-09,-5.441061473784292e-10,3.515470921679642e-07,2.1134557531302763e-07,55.79419603063739,-2.674378774186732
143.0,52,109.13760391449173,-7.023479720816067e-09,-5.156466924171048e-10,2.6323362884180664e-07,-4.392105546253237e-07,72.71013046675247,2.0374395920857538
143.0,53,110.52335103681332,-6.6784003362654606e-09,-4.84145226429991e-10,-1.5716996852650198e-07,4.499543791328433e-07,71.17976582493976,-1.3071110550504665
143.0,54,112.15477184219998,-6.298849923328741e-09,-4.4996782924186705e-10,-3.436476897917819e-07,1.1702890507194024e-07,57.48755270958397,-0.3995459680949385
143.0,55,114.21714827156424,-5.856788925472412e-09,-4.1081189480018094e-10,-2.2474468932135027e-07,3.2363267317687234e-07,67.11013004266918,-1.033837285174893
143.0,56,115.89814244184313,-5.524839740736919e-09,-3.8189146461471506e-10,-4.2318906432730005e-07,2.640167184227103e-07,90.06686714711239,-0.6268021654187417
143.0,57,117.36975099660535,-5.253335171154681e-09,-3.5855892458101924e-10,-2.0007794395991208e-08,-6.269229295667967e-07,119.12169324100374,1.4707449883399653
143.0,58,118.29941830789761,-5.090382203025931e-09,-3.4469907839407847e-10,3.2769240142412477e-07,-4.291553084764638e-07,105.8321458916787,2.1553166401350974
143.0,59,120.25518223849443,-4.7676920243282226e-09,-3.1758349890428413e-10,-3.7874915433449466e-07,-1.769374081647783e-07,87.48803815299907,0.37052093791971163
143.0,60,121.27884159650739,-4.608978692959661e-09,-3.0441336489746417e-10,-5.785633393172638e-07,-1.4520930119378724e-07,129.14156673796015,0.17995109033743129
143.0,61,123.89049065980964,-4.2329714472827826e-09,-2.736706918366087e-10,-2.134097311686453e-07,-5.669471056757575e-07,142.81236052353955,1.1462197841942972
143.0,62,125.01078350060402,-4.0834645276220026e-09,-2.616331401048199e-10,-4.995799637976889e-07,-9.351955252348078e-08,124.2126183848876,0.12107070474177206
143.0,63,126.39731225583503,-3.907447206137056e-09,-2.47602677830957e-10,3.723359640847984e-07,-3.65104982730658e-08,95.55417433629866,2.980564943774095
143.0,64,128.05267718423613,-3.7095353369450623e-09,-2.3201592538902274e-10,4.365818968415473e-07,2.3180754790962403e-07,132.9929482293606,-2.715949306452179
143.0,65,128.93723692862375,-3.608910596122296e-09,-2.2417021571843225e-10,4.903244318764144e-08,5.339896936103335e-07,148.30087611626925,-1.7243984389609237
143.0,66,130.81136991023857,-3.406741501786016e-09,-2.0857386023764464e-10,2.3361278881748758e-07,7.552263258066427e-08,71.93329994311456,-2.8900636305205682
143.0,67,133.03244964930053,-3.1851253833576215e-09,-1.9174292914208368e-10,-1.6470337974500864e-07,-4.049275362327639e-07,136.9969582031715,1.1243595310173105
143.0,68,133.9908626434153,-3.0950739141277045e-09,-1.849863515643971e-10,-5.0282689219907075e-08,-2.8701836975656813e-07,93.97854006955518,1.3376695357944557
143.0,69,135.82089122314954,-2.9317908198371205e-09,-1.7286142712032266e-10,-2.814578208378194e-07,-2.538476359734307e-07,129.05565093010188,0.6749726002864986
143.0,70,136.82637327155004,-2.8466539602549045e-09,-1.666057857527863e-10,-3.7817731319443663e-07,-2.100413422134895e-07,151.70531834628974,0.448522793300243
143.0,71,138.09535955646885,-2.743567447798895e-09,-1.590940019861287e-10,1.7686346046971192e-07,3.235462847808777e-07,134.1731399347275,-2.1289796462550723
143.0,72,139.9982800755045,-2.5975703688733456e-09,-1.4857657014799372e-10,1.1806024153559785e-07,1.1056100614762477e-07,62.16680116209961,-2.4461207680931016
143.0,73,141.64784711184876,-2.4787916413384747e-09,-1.4012838615361713e-10,-9.159148778926894e-08,2.0582201278553287e-07,90.73867640742644,-1.2085761900037666
