chi5_zero_height,zero_index,ordinate,theoretical_real,theoretical_imag,estimated_real,estimated_imag,amplitude_ratio,phase_error
100.0,2,9.83144443288667,-6.768773259095592e-05,-6.8757275488576e-05,-6.545220341497792e-05,-7.020961984411454e-05,0.9948406788573585,0.027215362223462325
100.0,3,11.958845626083516,-3.6045245013555104e-05,-2.782304423796043e-05,-3.833572724763805e-05,-3.0118600088824943e-05,1.0706632102321263,0.00856614026347291
100.0,4,16.033821128384233,-1.279719954850965e-05,-6.892544014038675e-06,-1.1132220647664739e-05,-5.349009812326698e-06,0.8496984409250796,-0.04612237960355925
100.0,5,17.566994292325553,-9.136059600824652e-06,-4.431947857773125e-06,-1.0765171720595706e-05,-3.23320911822877e-06,1.1069422952517824,-0.15989225834373277
100.0,6,19.540732622784752,-6.130382507476062e-06,-2.6402548257688127e-06,-6.532677644749429e-06,-1.0648739971547616e-06,0.9916298509986926,-0.24508869737972105
100.0,7,22.227405454459415,-3.757031724517249e-06,-1.4058293376420929e-06,-3.975559368409856e-06,1.3169369764697928e-07,0.9915992542420728,-0.39117071060628766
100.0,8,24.58846621740819,-2.5490962564431565e-06,-8.560164136993227e-07,-3.0264287603909215e-06,-2.7106052126054674e-06,1.5109171413672808,0.40642425527499265
100.0,9,26.77609594800414,-1.832966437137282e-06,-5.623999974170426e-07,-2.427341438111497e-06,2.4830654119297076e-07,1.2726239760996343,-0.39964755815612585
100.0,10,28.461035100177526,-1.4458508083765585e-06,-4.160679679512015e-07,-2.694862448734311e-06,-3.041331372598422e-07,1.8025415927377182,-0.16781516767687554
100.0,11,29.707909350480968,-1.2232761123685643e-06,-3.365845074185387e-07,-3.1162918974942893e-07,3.601110628742793e-07,0.37535565074045135,-1.1259525015260545
100.0,12,33.00045600687052,-8.108185440016263e-07,-2.0001057647328276e-07,-1.6668029413380037e-06,1.0504612896333172e-08,1.9959160802907014,-0.2481512033845699
100.0,13,34.72881297890481,-6.635866438413843e-07,-1.5528016273027462e-07,-1.7718383639512164e-06,-3.8398088097928035e-07,2.6602125649119763,-0.016452200410147277
100.0,14,35.86863837181228,-5.844667208061954e-07,-1.3228870566654986e-07,-1.0505240871772342e-06,1.168301591645466e-06,2.6218657960474983,-1.0610197363083336
100.0,15,38.12918472143653,-4.594597175864002e-07,-9.766226446122771e-08,3.3302111532181457e-07,-7.100904457367105e-07,1.6697087726164084,1.7998830092100855
100.0,16,39.560572946403184,-3.973132285280422e-07,-8.132105937711497e-08,-5.850617581417816e-07,7.795663172476545e-07,2.403377686526867,-1.1288665999400982
100.0,17,41.842438545791694,-3.1839870060762574e-07,-6.153566276490289e-08,-4.4346988021225637e-07,-9.134054873329412e-07,3.131048387070995,0.9278933442736506
100.0,18,44.031290061441695,-2.602670014693862e-07,-4.775001535496022e-08,-9.924253358015355e-07,6.309658599433003e-07,4.444340134503245,-0.7477625409288378
100.0,19,45.427300082782295,-2.3002495363562637e-07,-4.0880541273528475e-08,2.3469569922000857e-07,-9.896406316107213e-07,4.3534302200153565,1.6277613560493014
100.0,20,46.49272715949141,-2.0985000111781378e-07,-3.642518552390378e-08,-4.926365856965364e-07,-9.136730565410219e-07,4.873620175472067,0.9044313041689347
100.0,21,48.34566182106785,-1.7974746271799405e-07,-2.9984502329362713e-08,-6.087679663641192e-07,-5.384852545347803e-07,4.460000549191601,0.5589202884612523
100.0,22,51.08775192674649,-1.4442841763357853e-07,-2.2780328523435228e-08,-9.718186655641748e-07,-4.3151547496814345e-07,7.272318513583673,0.2614385187359018
100.0,23,52.12590223131697,-1.333475402513836e-07,-2.0607789523051617e-08,-1.016411792360812e-06,4.473558483514239e-08,7.540145345271906,-0.19731383138175776
100.0,24,53.83044519544217,-1.1735775084019855e-07,-1.7554781162707565e-08,-5.637589670865256e-07,-2.361628041631789e-07,5.150919710793488,0.24821629374592424
100.0,25,55.58928033540481,-1.0328968650632376e-07,-1.4955506340467004e-08,-3.8943290177972586e-07,-5.14407986177525e-07,6.181972872918884,0.7790054838321967
100.0,26,56.83886594289099,-9.455832940287327e-08,-1.3386719028376653e-08,-1.6981172222673845e-07,6.030935212228305e-07,6.560590361018757,-1.4369708128997563
100.0,27,58.38611748535838,-8.49850161431663e-08,-1.1708998856292167e-08,-6.657978051843983e-07,-1.408368192755714e-07,7.9327148075459855,0.07154277191274483
100.0,28,61.138864751921744,-7.076013754396521e-08,-9.305648418666425e-09,-1.1983552963834915e-06,2.448653307539036e-07,17.137829175333067,-0.332319234960359
100.0,29,62.13290472023388,-6.636338108626455e-08,-8.586429543958108e-09,-1.324848322649455e-06,1.4159375142749789e-07,19.911265865882967,-0.2351415149607379
100.0,30,63.70954306098115,-6.006635007338137e-08,-7.577549661718034e-09,-6.781089105353475e-07,-1.213116851957723e-06,22.955446266767687,0.9355942143827956
100.0,31,64.63735966537459,-5.6708031898844544e-08,-7.050265878454075e-09,3.7288504077591204e-07,-1.5526181060744699e-06,27.942570045268873,1.6828066124631016
100.0,32,66.7476418459378,-4.9901156871155686e-08,-6.0061649807206035e-09,-2.847940779091897e-07,8.586213585128735e-08,5.918186826153643,-0.412606839499958
100.0,33,68.59072792482502,-4.477263123355584e-08,-5.242909603334811e-09,-6.829117868910817e-07,8.440871034508295e-08,15.2646516762277,-0.23954734934350452
100.0,34,70.11583715919349,-4.1018407669085074e-08,-4.697999798364166e-09,1.000682649940628e-08,-6.46929088964719e-07,15.671111882750779,1.4722262655710145
100.0,35,71.60595947924301,-3.772258427302839e-08,-4.22993844755358e-09,5.039669466410954e-07,3.5377190125442195e-07,16.22121762097903,-2.6412091314948043
100.0,36,73.35010543146825,-3.427397647616153e-08,-3.7512029906732815e-09,9.843035632401774e-07,4.6575258046052524e-07,31.58287615881015,-2.8086441255711345
100.0,37,74.29368843801657,-3.257215317711397e-08,-3.5193543427677213e-09,6.964331206469473e-07,1.1711989226349317e-06,41.591738166706754,-2.2148903065929635
100.0,38,75.53490411722811,-3.049106087117589e-08,-3.2400000006354356e-09,5.072452428520071e-07,-1.0021300495200166e-06,36.63057091180494,1.9335020226229145
100.0,39,78.07217086438234,-2.6729159814928726e-08,-2.747372741105523e-09,5.770281843491871e-07,3.0512752395022596e-07,24.29238642112642,-2.7576040301926
100.0,40,79.78606249009795,-2.4512692814089672e-08,-2.4651055986205558e-09,9.86969882020881e-07,5.028408477738715e-07,44.961302371996645,-2.770617782655385
100.0,41,80.5673008564107,-2.3578702758625405e-08,-2.3480527712447287e-09,-7.953322846659505e-07,6.539650270564838e-07,43.45462702587954,-0.7874202170639022
100.0,42,81.9233808931541,-2.206059090369863e-08,-2.160303150663079e-09,2.703594021804665e-07,-4.330193535871947e-07,23.03019570633392,2.031319685991325
100.0,43,83.69915700187411,-2.0252555564763896e-08,-1.940944246883e-09,1.934545549586975e-07,-3.066323069014453e-07,17.820171675818454,2.038082437458808
100.0,44,84.95250710375498,-1.9086952882484464e-08,-1.8021069233045e-09,-3.9392151791215683e-07,1.6702663431881484e-07,22.317589736129335,-0.4951683320070848
100.0,45,86.80999667933878,-1.750938166435294e-08,-1.6176080573875579e-09,-3.22122696282887e-07,9.093816956602142e-08,19.035147992787103,-0.3672723675876297
100.0,46,88.28177659970984,-1.6373689792519348e-08,-1.4873455794737285e-09,5.3015019567554127e-08,-3.06979953114835e-07,18.947883471663175,1.6512192313120888
100.0,47,90.37657318212817,-1.491131453206076e-08,-1.3229652559672027e-09,-5.411622687305506e-07,1.7185929752790266e-06,120.36042258316064,-1.3542290121851421
100.0,48,90.715525933147,-1.4690270344224276e-08,-1.2984615253557778e-09,-2.6554535985834115e-07,1.870023233263167e-06,128.07441302412997,-1.5178984000186972
100.0,49,92.4502432537744,-1.3620952780957156e-08,-1.1812544568505676e-09,3.0109095628384855e-07,7.991877773849806e-07,62.464822608089484,-2.017603928139821
100.0,50,93.39442393782804,-1.307974878521642e-08,-1.1228022328055124e-09,-1.4371616409143443e-07,9.976384404229524e-07,76.77850540595371,-1.513357102750881
100.0,51,95.9700016460377,-1.1734195390518395e-08,-9.801511622223838e-10,-6.805981141361203e-07,2.3459505624737778e-07,61.137257665033175,-0.4152721094293439
100.0,52,97.33158825289809,-1.1092662421419245e-08,-9.135505990843958e-10,7.351397365616389e-07,-3.74224181266807e-07,74.11432950028895,2.588559025897702
100.0,53,98.22745786990109,-1.0694360462869898e-08,-8.726837477899448e-10,6.241243882502369e-07,2.683385046169097e-07,63.3150825124033,-2.816963730533769
100.0,54,99.83805080753655,-1.0022205949844697e-08,-8.045909235452318e-10,8.996874234468597e-08,3.877838639621849e-07,39.59279299810686,-1.8788794753648201
143.0,1,6.648453344727717,-0.00017174495727659186,-0.00037489043350896355,-0.00017698111331428926,-0.00037208594950892653,0.9992089893414787,-0.014388805355039835
143.0,2,9.83144443288667,-6.768773259095592e-05,-6.8757275488576e-05,-6.551117205398893e-05,-7.031419446891384e-05,0.9960502643599085,0.027508543355373675
143.0,3,11.958845626083516,-3.6045245013555104e-05,-2.782304423796043e-05,-3.838228875340045e-05,-3.00953691097565e-05,1.07115259869468,0.007601844971170113
143.0,4,16.033821128384233,-1.279719954850965e-05,-6.892544014038675e-06,-1.1125236917726598e-05,-5.401029859771419e-06,0.8508222980093383,-0.04208639447515016
