x,c05,observed_z05,m0_local,m1_local_lzeros,m2_local_lzeros_cross,split
3473,-3722.1763779544044,-0.018186108326921795,-0.017809787819817274,-0.018219609943045056,-0.018218415820666106,discovery
3503,-3773.5124547463056,-0.018200594829485123,-0.017757581654651338,-0.01823403417964537,-0.018232643753624413,discovery
3533,-3824.5655054743333,-0.018212377665053674,-0.017705939250314596,-0.018245944839782143,-0.018244218543633037,discovery
3564,-3877.015902317388,-0.018221790086935512,-0.01765315643863377,-0.01825519514052193,-0.01825332751895645,discovery
3595,-3929.0297975018675,-0.018227914399121383,-0.017600952905922222,-0.01826088179882024,-0.01825923723187925,discovery
3626,-3980.5134343648024,-0.01823045022980691,-0.017549317587073343,-0.018262638012429194,-0.018261359351239768,discovery
3658,-4032.917612125486,-0.018228620279954217,-0.01749660120661298,-0.018260162114657842,-0.018259239930618367,discovery
3689,-4083.001268240374,-0.01822285972020609,-0.017446087785146256,-0.018253654375125713,-0.018253184295270293,discovery
3721,-4134.007401839086,-0.018213010788740405,-0.017394507478619026,-0.01824281947206538,-0.018242979492735525,discovery
3754,-4185.810754271061,-0.01819860869884373,-0.017341902452690586,-0.01822732437636333,-0.01822810979326962,discovery
3786,-4235.139796892444,-0.018180123788263246,-0.017291450011137417,-0.018208059897344527,-0.018209300324959238,discovery
3819,-4285.065793437342,-0.018156536496388605,-0.017239985850628498,-0.018183755630108725,-0.018185327643869834,discovery
3852,-4334.005378708762,-0.018128423084622404,-0.01718908441117293,-0.018154978676013477,-0.018156666197088826,discovery
3886,-4383.295879833382,-0.01809450024900277,-0.017137217756056033,-0.018120830714003163,-0.018122290283305365,discovery
3920,-4431.509305901581,-0.01805604236683463,-0.017085925697947753,-0.018082393548724374,-0.01808343646424528,discovery
3954,-4478.795362297469,-0.01801383673862261,-0.017035197166421108,-0.018039975310974943,-0.01804072627052758,discovery
3988,-4525.187590311145,-0.017968170626025945,-0.016985021394264277,-0.017993891956785992,-0.017994574268498164,discovery
4023,-4572.0397534104995,-0.017917810907517446,-0.016933936202548138,-0.017942971199091835,-0.017943763508708584,discovery
4058,-4618.029767785427,-0.017864409443881377,-0.016883414550941615,-0.01788887031928098,-0.01788989572416885,discovery
4093,-4663.173049459651,-0.017808154520969864,-0.016833445630778245,-0.01783190293861432,-0.017833203902282626,discovery
4128,-4707.528243703721,-0.017749388745903996,-0.016784018928079687,-0.017772316572341233,-0.017773912361800273,discovery
4164,-4752.309570852584,-0.017686367386752215,-0.016733734938714766,-0.017708498636207118,-0.01771039448127117,discovery
4200,-4796.223515590513,-0.017620794181489947,-0.016684002942989724,-0.017642285800430816,-0.01764435064721868,discovery
4237,-4840.450122308266,-0.01755084591272603,-0.016633453633825894,-0.017571867989274487,-0.01757391426264134,discovery
4274,-4883.756454539124,-0.017478422028226134,-0.016583465164640564,-0.017499101348822887,-0.017500987850874655,discovery
4311,-4926.1033083364455,-0.017403495335127396,-0.016534026721685382,-0.01742395105508954,-0.01742550414382098,discovery
4348,-4967.409805603433,-0.01732589536019045,-0.01648512778752518,-0.01734635506163302,-0.01734733992142162,discovery
4386,-5008.688469594638,-0.017243327599234824,-0.016435458094241316,-0.017264101859793903,-0.017264259996781044,discovery
4424,-5048.84072356244,-0.017158092022959728,-0.016386335894464785,-0.017179327201072226,-0.01717845934784716,discovery
4462,-5087.899857789421,-0.01707041996941595,-0.01633775070285641,-0.017092169629922143,-0.017090258110099423,discovery
4501,-5126.977137144611,-0.016978443016061218,-0.01628843464811071,-0.017000421935492394,-0.016997700175299817,discovery
4540,-5165.089128362418,-0.01688472690782646,-0.016239662769202304,-0.016906578897068064,-0.01690345534513398,discovery
4580,-5203.228200262179,-0.016787060528497277,-0.016190194687889927,-0.016808487163956068,-0.016805332100265306,discovery
4619,-5239.580247503438,-0.016690700065560938,-0.016142493447354342,-0.01671147754832853,-0.016708504292956467,discovery
4659,-5276.091172697163,-0.016591025316745528,-0.016094102406608315,-0.01661107356553759,-0.01660836375193951,discovery
