x,c03,observed_z03,m0_pole,m1_pole_lzeros,m2_pole_lzeros_cross,split
3517,-471.27755065941983,-0.0022595304591534115,-0.0026647837972093953,-0.002281948934216652,-0.00228371011610102,validation
3656,-523.2501791679538,-0.002367010067651039,-0.0026136357966894076,-0.002392594010110212,-0.0023911681829227784,validation
3800,-586.5387751701785,-0.0025039250962211363,-0.002563636019622573,-0.002526764249482809,-0.0025259159265662253,validation
3950,-652.3699457566845,-0.0026278362649319303,-0.0025144882780209505,-0.002650595656681634,-0.002649916704043248,validation
4106,-714.5088281368176,-0.0027156836747551987,-0.002466259042939056,-0.0027376783618654325,-0.0027363881268406545,validation
4268,-769.5609635131932,-0.002759983041507775,-0.002419000498252217,-0.00277851304962654,-0.002778267224791605,validation
4437,-815.0972917191866,-0.002757879629720377,-0.002372484855483438,-0.0027737777229537718,-0.0027750844450710604,validation
4612,-850.1335517171315,-0.0027142710126606753,-0.002327038206857812,-0.0027283303905464113,-0.0027312551544924936,validation
4794,-875.6812068903441,-0.0026381469613287563,-0.0022824388362767014,-0.002651477296775404,-0.0026516826578026394,validation
4983,-891.9561869023028,-0.0025357544219390894,-0.0022387351577627967,-0.0025515923283608802,-0.0025499627895110262,validation
5179,-899.9996907380446,-0.0024147573335317595,-0.002195963957246596,-0.002429999298625856,-0.0024280293819013807,validation
5384,-899.3919850299403,-0.0022766246623591355,-0.002153751721473391,-0.002288430592340072,-0.0022874087651049463,validation
5596,-892.112307506608,-0.0021310957951179684,-0.0021125612542436134,-0.0021423592687689545,-0.00214277245253918,validation
5817,-885.4648714973823,-0.0019958262973798838,-0.0020720423675713775,-0.002005006546705873,-0.0020063414795058613,validation
6047,-881.0449558234573,-0.0018736484847520689,-0.0020322548977934323,-0.0018814226127300258,-0.0018836184377004953,validation
6285,-881.282803368209,-0.0017687130196271448,-0.0019934049032711973,-0.0017771289664306835,-0.0017779351052145806,validation
6533,-891.998693825276,-0.0016892550703393955,-0.001955202906206818,-0.001700366253126348,-0.00169905574489089,validation
6791,-916.7726244322803,-0.0016381778169797954,-0.0019177027805882402,-0.001649500239011569,-0.0016467110215304575,validation
7059,-949.1785232237721,-0.001600416905125873,-0.0018809470596172684,-0.0016099578875069323,-0.001608705934983585,validation
7337,-984.8466104101881,-0.0015670787297986416,-0.0018449682791206476,-0.0015737551024948338,-0.001575246606706792,validation
7627,-1025.9320957225837,-0.0015402385788690664,-0.0018095529263136162,-0.0015456443965502296,-0.0015478070910147255,validation
7928,-1078.0043232590606,-0.001527126594518794,-0.0017748691569362712,-0.0015333682590204438,-0.0015340784151874705,validation
8241,-1150.4281775868367,-0.001537763821555027,-0.0017408373906129837,-0.0015458047556061788,-0.0015452508196716012,validation
8566,-1257.3473985109122,-0.0015859452205753332,-0.001707493771499893,-0.0015934410511745912,-0.0015927323551752088,validation
8904,-1400.5446479571146,-0.0016669371719283906,-0.0016747715992714934,-0.0016749118615645786,-0.0016738445159255927,validation
9255,-1570.4176083529949,-0.001763804805572989,-0.001642706409407922,-0.0017707083651490932,-0.0017704471258302304,validation
9620,-1745.9354156582604,-0.0018503997731157574,-0.0016112414550998907,-0.0018568282685804036,-0.0018569195930285658,validation
10000,-1908.7429959407316,-0.0019087429959407315,-0.0015803313777877038,-0.001914247392983878,-0.0019148294013077694,validation
