zero_height,zero_index,ordinate,theoretical_real,theoretical_imag,estimated_real,estimated_imag,amplitude_ratio,phase_error
143.0,3,25.01085758014569,-4.773762833091159e-06,-1.5743111336016026e-06,-4.833915753605103e-06,-3.9586942518559957e-07,0.9648757919100459,-0.23684105530967736
143.0,4,30.424876125859512,-2.2289915578986223e-06,-5.982464370635241e-07,-2.6261346378777602e-06,3.8020510454039947e-07,1.1497636134220506,-0.4059921734762198
143.0,5,32.93506158773919,-1.6342998998549806e-06,-4.0397350634381517e-07,-2.4096188325797427e-06,-7.328159780231089e-07,1.4960533259147721,0.0529063626657118
143.0,6,37.586178158825675,-9.723525694595145e-07,-2.097481754240681e-07,-1.5769787333878023e-06,9.988875524879524e-08,1.588529816799721,-0.27571400250520767
143.0,7,40.9187190121475,-6.955014342779853e-07,-1.3751937912059822e-07,-4.2126717250401936e-07,-8.24329223495662e-07,1.3057519362340404,0.9031448988206936
143.0,8,43.327073280915,-5.548100678676334e-07,-1.0347612542998013e-07,-1.3149381156480202e-07,4.5651122399902077e-07,0.841762880368716,-1.4747359461961216
143.0,9,48.00515088116716,-3.6970789481658685e-07,-6.211730134643286e-08,4.980659362795298e-08,-9.443541077704274e-08,0.2847899605218413,1.889671687282739
143.0,10,49.7738324776723,-3.203068940948939e-07,-5.18749607845204e-08,1.4286917693620258e-07,1.6439729407972086e-07,0.6712357379495992,-2.4468052902254303
143.0,11,52.970321477714464,-2.5021551783144523e-07,-3.804398603876685e-08,-7.797467514924215e-07,-2.0906008812523482e-07,3.1897051350920473,0.11106281475274615
143.0,12,56.44624769706339,-1.9439772976604057e-07,-2.7714772570445572e-08,-2.333707137884779e-07,-4.872009347520724e-07,2.7510717588802063,0.9824739017397013
143.0,13,59.34704400260235,-1.5929003166586247e-07,-2.158734598841847e-08,-5.123580603989407e-07,-1.2238292631941548e-07,3.2770403009847167,0.09976717397963863
143.0,14,60.83177852460981,-1.4438298894736518e-07,-1.9084599324886637e-08,1.61858542720281e-07,-1.9468252740127598e-07,1.7384013325925267,2.132972429392708
143.0,15,65.1125440480816,-1.1015765538238628e-07,-1.3594587818224226e-08,8.759808473921164e-08,3.5743335148091505e-07,3.3156124382887415,-1.9339240646922689
143.0,16,67.07981052949417,-9.784936058713026e-08,-1.1718461112269242e-08,3.144842291786479e-07,1.0922859585008498e-07,3.3781641180640527,-2.926494413062247
143.0,17,69.54640171117398,-8.474475320156799e-08,-9.786239543797565e-09,-3.070390075329667e-07,3.40433102819037e-07,5.373948586730001,-0.9518983687897127
143.0,18,72.0671576744819,-7.354015006039179e-08,-8.193105403553177e-09,-5.102891488202523e-07,-1.813769100805492e-07,7.3189260581962685,0.23056002037805579
143.0,19,75.70469069908393,-6.04389083809351e-08,-6.407779501918198e-09,-4.063975678589185e-07,-1.7536472701885058e-07,7.282599828792203,0.3017457749017338
143.0,20,77.1448400688748,-5.60659881437142e-08,-5.832484167750322e-09,2.914291801371912e-07,-7.844745066894166e-08,5.354100657173765,2.7749874500532457
143.0,21,79.33737502024937,-5.014006830403092e-08,-5.070995157508717e-09,-4.011829128681871e-07,-2.5227159421352555e-07,9.403709083389977,0.4605472743013945
143.0,22,82.91038085408603,-4.206376185380419e-08,-4.069825695370389e-09,-2.074327007374552e-07,-2.086270115460193e-07,6.961631398318589,0.6918151852726573
143.0,23,84.73549298051705,-3.856531013574304e-08,-3.6505426565309012e-09,-2.1656075543592954e-07,-3.041635503360524e-07,9.638720198682764,0.8576925454058038
143.0,24,87.42527461312523,-3.404600224412741e-08,-3.1231018454243585e-09,-1.7269089748636353e-07,-3.0495397373849653e-07,10.250550577389943,0.9640603596211665
143.0,25,88.80911120763446,-3.1978550874123e-08,-2.8875215933524487e-09,1.1365941178651277e-07,2.739528875251663e-07,9.237232806736813,-2.054121202983263
143.0,26,92.49189927055849,-2.719298429384209e-08,-2.357199524882667e-09,2.5361044691005885e-07,2.1179763789692238e-07,12.105483346474653,-2.532263073597595
143.0,27,94.65134404051989,-2.4800584352428113e-08,-2.1005607459103097e-09,1.9037971595438263e-08,-3.441756145286636e-07,13.849349546574736,1.541558349181042
143.0,28,95.87063422824531,-2.3565613978833818e-08,-1.9704718876696983e-09,-3.249851890697927e-07,1.3471996768499837e-07,14.876711530293822,-0.4764016197055698
143.0,29,98.83119421819369,-2.0871976382393013e-08,-1.6927553745532474e-09,1.8940248350612638e-07,2.5421770843246824e-07,15.138948960559084,-2.2920404868114703
143.0,30,101.31785100573138,-1.890112012348576e-08,-1.495153312200506e-09,-3.7900943179967947e-07,1.82875334547202e-07,22.19508490221689,-0.528496453430382
143.0,31,103.72553804047834,-1.720961628628135e-08,-1.3296372241436397e-09,9.763454955329306e-08,-2.9210640135147945e-07,17.843289786719193,1.816257338777218
143.0,32,105.44662305232609,-1.6115316664876286e-08,-1.2246987766102954e-09,2.0456432099921668e-07,-1.668927881955809e-07,16.33526970822447,2.381414343867119
143.0,33,107.16861118427641,-1.510609050519493e-08,-1.129494710083842e-09,2.2159314847756464e-07,-2.051235637751876e-08,14.690831755533006,2.9746561107817304
143.0,34,111.02953554316967,-1.3115301590386704e-08,-9.464353032951691e-10,-2.220456036334124e-07,-5.606953522586073e-07,45.86228450889161,1.1216893729767836
143.0,35,111.87465917699264,-1.2724127719002277e-08,-9.112499265760205e-10,4.934753135899501e-07,-3.046281436202434e-07,45.460583052867904,2.517047184876094
143.0,36,114.32022091545271,-1.1671459038914434e-08,-8.179292098061057e-10,5.7144600391255376e-08,2.4850745259028113e-07,21.7941220486549,-1.8667834625576154
143.0,37,116.22668032085755,-1.0925466971214884e-08,-7.530563739007361e-10,2.7612993448763914e-07,1.2339226307735523e-07,27.61710696739597,-2.790168337439415
143.0,38,118.79078286597621,-1.001361152861324e-08,-6.752669939891097e-10,-1.2155695960092971e-08,2.642034192170247e-07,26.352488815197706,-1.592152866724483
143.0,39,121.37012500242065,-9.190297014769656e-09,-6.065421266334871e-10,-2.0494180126978068e-07,7.64165881779792e-08,23.747896309146512,-0.4228042284740304
