x,c2,observed_z1,split
7241,2180186.1478694538,-0.007277085815353638,discovery
7304,2218330.100558387,-0.007241885898878356,discovery
7368,2257419.1658699624,-0.007205079790707983,discovery
7432,2296850.714529643,-0.007167023049488218,discovery
7496,2336624.5066057118,-0.00712814110316393,discovery
7561,2377369.615426518,-0.00708853979388012,discovery
7627,2419101.919017154,-0.007048818403724932,discovery
7693,2461197.280531293,-0.007009638314620831,discovery
7760,2504301.8928542575,-0.0069702717019308035,discovery
7827,2547780.891615713,-0.006931089259164996,discovery
7895,2592291.9019434825,-0.006891138797689484,discovery
7964,2637851.967128095,-0.006850402614740519,discovery
8033,2683809.316027293,-0.006809589620932139,discovery
8103,2730838.461066641,-0.006768412170960297,discovery
8173,2778275.878713711,-0.0067279964093611,discovery
8244,2826808.0188009273,-0.006687784024493968,discovery
8316,2876452.463601351,-0.006648002682965811,discovery
8388,2926528.6285512466,-0.006609236671021229,discovery
8461,2977740.878079718,-0.0065711604728831965,discovery
8534,3029396.5216907095,-0.006534569303763865,discovery
8608,3082212.2502617463,-0.006499034065058977,discovery
8683,3136206.332402028,-0.006464811704348745,discovery
8758,3190667.719270395,-0.006432871024886828,discovery
8835,3247067.443875937,-0.0064025238318833975,discovery
8911,3303217.4234112855,-0.006375103159791766,discovery
8989,3361343.6011177227,-0.006349592011851068,discovery
9067,3419974.9192669895,-0.0063265363013281254,discovery
9145,3479111.687581392,-0.006305493533937649,discovery
9225,3540289.9029636867,-0.006285856546662604,discovery
9305,3601999.949953895,-0.00626804695617963,discovery
9386,3665023.1273103617,-0.006251909039594057,discovery
9467,3728591.4631476123,-0.006237566638677453,discovery
9549,3793499.9880846683,-0.006224703912709216,discovery
9632,3859769.4206287246,-0.006213030470383714,discovery
9716,3927420.944018552,-0.006202044915981482,discovery
9800,3995660.0045448486,-0.006191474516958948,discovery
9885,4065309.7382429373,-0.006180951035813343,discovery
9971,4136391.725654885,-0.006170136637671329,discovery
10058,4208928.14784115,-0.006158363450676517,discovery
10145,4282096.106874026,-0.006145780671333989,discovery
10233,4356747.372974293,-0.00613242994245758,discovery
10322,4432904.191552272,-0.006118104472166786,discovery
10412,4510589.491721569,-0.006102200902712197,discovery
10502,4588951.825170025,-0.00608447763243477,discovery
10593,4668873.591899246,-0.006064432125554309,discovery
10685,4750377.7236314695,-0.00604199043043605,discovery
10778,4833487.121612186,-0.006017335848934798,discovery
10872,4918225.103833389,-0.00599049795893049,discovery
10966,5003702.0297631845,-0.005961742544087545,discovery
11061,5090839.122566763,-0.005930761326409289,discovery
11157,5179659.949556289,-0.005897802693418875,discovery
11254,5270188.497876635,-0.005862962607186643,discovery
11352,5362448.780377209,-0.005826519879838221,discovery
11450,5455511.505616611,-0.005788965694081001,discovery
11550,5551300.256257331,-0.005749863730146141,discovery
11650,5647923.8348531015,-0.005710256621082792,discovery
11751,5746360.411524132,-0.005670262692290169,discovery
11853,5846634.634814728,-0.0056303765061839085,discovery
11956,5948771.326281421,-0.0055911266148163585,discovery
12060,6052795.597732596,-0.005552983963826324,discovery
12165,6158732.89988764,-0.005516328405164096,discovery
12270,6265587.22258931,-0.0054815780204263975,discovery
12377,6375420.032143213,-0.005448218602232752,discovery
12484,6486204.354991067,-0.005417254300246299,discovery
12593,6600037.578658704,-0.005388221942221519,discovery
12702,6714858.455623798,-0.005361332381295092,discovery
12813,6832801.4828799255,-0.005335836990367932,discovery
12924,6951769.1462599225,-0.0053121379539298515,discovery
13036,7072847.270418752,-0.0052898770886560436,discovery
13149,7196064.443715923,-0.005268614111368049,discovery
13263,7321449.410598993,-0.005247991529322481,discovery
13379,7450145.242367435,-0.005227599005581775,discovery
13495,7579962.380349882,-0.005207456438194969,discovery
13612,7712034.556897394,-0.0051873393956664605,discovery
13730,7846390.896884076,-0.005167328464409782,discovery
13849,7983060.802863423,-0.005147483154701249,discovery
13970,8123237.940742053,-0.0051273769234119896,discovery
14091,8264635.762033615,-0.005107142881654505,discovery
14213,8408437.985181253,-0.005086641062504662,discovery
14337,8555869.088270776,-0.005065781140014532,discovery
14461,8704581.112983566,-0.005045411710185131,discovery
14587,8857003.04829945,-0.005025626601645704,discovery
14713,9010746.394503169,-0.0050069604309367875,discovery
14841,9168282.497449305,-0.004989465685104099,discovery
14970,9328428.320757978,-0.004973321639894731,discovery
15100,9491216.189542178,-0.00495843847622277,discovery
15231,9656678.26590095,-0.004944949541288757,discovery
15363,9824847.283011291,-0.004932811611374576,discovery
15497,9997047.236736786,-0.0049216938702651225,discovery
15631,10170741.627588231,-0.004911558678787533,discovery
15767,10348557.099722065,-0.004901955228258262,discovery
15904,10529237.917349156,-0.0048925035973160745,discovery
16042,10712819.133833699,-0.004882802057436812,discovery
16181,10899336.128317513,-0.004872432621124764,discovery
16322,11090183.960108723,-0.004860885506876144,discovery
16463,11282691.219204724,-0.004848097773802929,discovery
16606,11479624.556382343,-0.004833643305921374,discovery
16751,11681055.71344994,-0.004817474264494347,discovery
16896,11884242.216917366,-0.00479996669782105,discovery
17043,12092022.71061235,-0.0047810932966784545,discovery
17191,12303038.582283415,-0.004761097504880837,discovery
17340,12517326.528363928,-0.004740159372487327,discovery
17491,12736380.46795123,-0.004718292045817553,discovery
17642,12957336.68120107,-0.004695788712120621,discovery
17796,13184642.296765931,-0.004672127066078063,discovery
17950,13413926.490507752,-0.004647879324042751,discovery
18106,13648205.077958867,-0.004622998266265068,discovery
