N,raw_counts,smooth_residual,desingularized_ratio,random_control
206,7.0,-2.4901960784313726,0.9551251180401129,-29.509803921568633
208,7.0,-2.549019607843137,0.878877036027302,-15.470588235294116
210,19.0,9.352941176470589,0.8083922916012706,65.31372549019608
212,6.0,-3.666666666666666,0.7964498416644961,15.450980392156865
214,8.0,-1.7843137254901968,1.066245230946192,-37.43137254901961
216,13.0,3.1568627450980387,0.8694838737997755,18.01960784313726
218,7.0,-2.901960784313726,0.922341043315446,10.686274509803923
220,9.0,-1.0196078431372548,0.8033143182308355,-23.17647058823529
222,11.0,1.0196078431372548,0.7030615186216722,22.333333333333336
224,7.0,-3.0784313725490193,0.7626539841291208,-2.1960784313725483
226,7.0,-3.1764705882352935,0.9019425233117463,28.11764705882353
228,12.0,1.8235294117647065,0.7326352299663653,-29.529411764705884
230,9.0,-1.313725490196079,0.8284448925527953,-16.215686274509807
232,7.0,-3.3529411764705888,0.8631547369498637,-33.627450980392155
234,15.0,4.607843137254902,0.8743745010372425,5.901960784313726
236,9.0,-1.4705882352941178,1.118850376294684,130.80392156862746
238,9.0,-1.549019607843137,0.8846891968662149,-40.92156862745098
240,18.0,7.352941176470589,0.8448019596014418,47.05882352941177
242,8.0,-2.6470588235294112,0.8963832603459015,-32.15686274509804
244,9.0,-1.8039215686274517,1.0960528594261596,-7.294117647058826
246,16.0,5.1764705882352935,0.9610067784558733,-21.431372549019613
248,6.0,-4.862745098039216,0.7109185480904134,-17.274509803921568
250,9.0,-2.019607843137255,0.8231363280219653,25.84313725490196
252,16.0,4.96078431372549,0.808851482376122,-38.29411764705881
254,9.0,-2.0588235294117645,1.0778286974373494,32.50980392156863
256,8.0,-3.0784313725490193,0.9609060278364029,-22.960784313725483
258,14.0,2.901960784313726,0.8166988153893329,-47.980392156862735
260,10.0,-1.1960784313725483,0.8176273610977132,-15.450980392156865
262,9.0,-2.1568627450980387,1.0569142881705698,42.470588235294116
264,16.0,4.784313725490197,0.8479420472966782,-32.68627450980392
266,8.0,-3.2549019607843146,0.7379313944765257,-11.862745098039213
268,9.0,-2.2941176470588243,1.0338418260120712,27.686274509803923
270,19.0,7.627450980392156,0.8270892224845956,81.47058823529412
272,7.0,-4.411764705882353,0.7581862970315465,-36.07843137254902
274,11.0,-0.5882352941176467,1.2555872316714454,53.274509803921575
276,16.0,4.411764705882353,0.8740013487726426,0.0588235294117645
278,7.0,-4.647058823529411,0.7916704333199645,-51.94117647058823
280,14.0,2.117647058823529,0.9922141834995084,-18.784313725490193
282,16.0,4.1764705882352935,0.8833797057474975,-4.0
284,8.0,-3.901960784313726,0.8860574591932474,8.941176470588236
286,12.0,0.019607843137254832,1.1073545779867349,-24.74509803921569
288,17.0,5.019607843137255,0.9464844857515388,-20.627450980392155
290,10.0,-2.0588235294117645,0.8017092130982305,-12.941176470588232
292,8.0,-4.03921568627451,0.8706289554571098,-22.313725490196077
294,19.0,6.921568627450981,0.8698391446461604,-17.274509803921568
296,8.0,-4.078431372549019,0.8508308372218716,-9.901960784313726
298,11.0,-1.0784313725490193,1.1899774526498592,10.176470588235304
300,21.0,8.784313725490197,0.8539947811026245,-16.764705882352942
302,9.0,-3.235294117647058,0.9653120923299263,12.450980392156865
304,10.0,-2.313725490196079,1.0154146519681722,35.33333333333333
306,15.0,2.686274509803921,0.7527441732373907,49.823529411764696
308,8.0,-4.352941176470589,0.6396242244707884,45.49019607843137
310,12.0,-0.5098039215686274,0.9235544419373856,-30.862745098039213
312,17.0,4.529411764705882,0.8236712086058372,-0.7843137254901933
314,9.0,-3.568627450980392,0.9413777966365217,-41.58823529411765
316,10.0,-2.6078431372549016,1.0349317466137253,74.58823529411765
318,15.0,2.3921568627450984,0.7679894063079402,20.901960784313726
320,11.0,-1.7058823529411757,0.8578331208179715,-12.82352941176471
322,11.0,-1.686274509803921,0.9061262378301443,20.0
324,20.0,7.254901960784315,1.0313887529436747,-17.176470588235297
326,7.0,-5.745098039215685,0.7146326654525943,-38.15686274509804
328,10.0,-2.862745098039216,0.9975619359832559,-38.470588235294116
330,24.0,11.019607843137255,0.825450765095897,-11.235294117647058
332,6.0,-6.901960784313726,0.6016015910801426,28.33333333333333
334,11.0,-1.9607843137254903,1.105464752670468,-39.25490196078431
336,19.0,5.96078431372549,0.7972927364831357,100.52941176470588
338,9.0,-3.980392156862745,0.8276327629657944,-5.627450980392155
340,13.0,-0.1764705882352935,0.9134335984668422,25.84313725490196
342,17.0,3.8039215686274517,0.7991398409268653,51.64705882352942
344,10.0,-3.2549019607843146,0.9680487913646626,-9.647058823529413
346,9.0,-4.294117647058824,0.8839279898745992,30.92156862745098
348,16.0,2.7254901960784306,0.7591981891096222,-25.725490196078425
350,13.0,-0.3333333333333339,0.7966070552699195,19.84313725490196
352,10.0,-3.2549019607843146,0.879089588269924,55.647058823529406
354,20.0,6.705882352941176,0.9563475728169364,-7.588235294117645
356,9.0,-4.352941176470589,0.8626499324973951,-36.725490196078425
358,10.0,-3.450980392156863,0.9605138208734499,-11.25490196078431
360,22.0,8.450980392156863,0.7939758903324824,-5.96078431372549
362,8.0,-5.529411764705882,0.762842652161385,-13.607843137254903
364,14.0,0.3921568627450984,1.021743218815205,-21.431372549019606
366,18.0,4.372549019607844,0.8424687441992927,23.92156862745098
368,8.0,-5.647058823529411,0.7243224546343275,-16.392156862745097
370,14.0,0.0588235294117645,0.9648121464453548,-21.411764705882355
372,18.0,4.0588235294117645,0.8193272816825969,-42.94117647058823
374,10.0,-3.9607843137254903,0.7917895908559424,-17.039215686274503
376,11.0,-2.980392156862745,1.0062565661226075,-2.235294117647058
378,22.0,7.980392156862745,0.8541725314047396,-9.509803921568633
380,13.0,-1.0980392156862742,0.8550575906879184,8.333333333333332
382,10.0,-4.0,0.9204707845553972,5.156862745098039
384,19.0,4.862745098039216,0.8760322773238123,-32.019607843137265
386,12.0,-2.137254901960784,1.0970129153755066,1.0196078431372513
388,9.0,-5.1764705882352935,0.8156468772406488,-32.627450980392155
390,27.0,12.72549019607843,0.8470903327795362,30.411764705882348
392,11.0,-3.2745098039215694,0.8337917677566231,9.352941176470589
394,11.0,-3.3529411764705888,0.9920811154542252,38.549019607843135
396,21.0,6.607843137254902,0.8537768582937935,37.627450980392155
398,7.0,-7.470588235294118,0.6271262993802426,-7.745098039215691
400,14.0,-0.6862745098039209,0.9423132447553613,-11.764705882352942
402,17.0,2.333333333333334,0.7487744724195174,-35.56862745098039
404,11.0,-3.7058823529411757,0.970853757555526,-14.09803921568627
406,13.0,-1.7843137254901968,0.9282469560409381,-37.980392156862735
408,20.0,5.215686274509803,0.8303155570328353,-1.9215686274509807
410,13.0,-1.9019607843137258,0.8391966088667475,52.882352941176464
412,11.0,-4.019607843137255,0.9584231471221433,-46.823529411764696
414,21.0,5.901960784313726,0.8790721225250886,-1.5294117647058822
