stage,frequency,period,nearest_rational,candidate_modulus,absolute_power,raw_power,normalized_power,windowed_power,total_spectral_energy,fraction_of_total_energy,global_empirical_p,rank_within_channel,stability_across_ranges
R2_log_detrended,0.09991998399679936,10.008008008008009,1/10,10,47.62618686284557,203.48432826126995,0.0426288203436815,47.62618686284557,9314.830369823789,0.005112941940106047,0.16666666666666666,12,candidato_modular
R3_modular_orthogonal,0.03330666133226645,30.024024024024026,1/30,30,74.32548503087642,371.71408683281794,1.0,74.32548503087642,7012.831890279148,0.010598498038132478,0.16666666666666666,1,pendiente_por_subventanas
R3_modular_orthogonal,0.16663332666533306,6.001200480192077,1/6,6,69.66245490547021,592.4169550515297,0.9372620289868396,69.66245490547021,7012.831890279148,0.009933569775433086,0.16666666666666666,2,candidato_modular
R3_modular_orthogonal,0.1333266653330666,7.500375093773443,2/15,15,60.54945017107211,247.76608977857535,0.8146526073246417,60.54945017107211,7012.831890279148,0.008634094060489723,0.16666666666666666,3,pendiente_por_subventanas
R3_modular_orthogonal,0.16463292658531706,6.07411907654921,1/6,6,50.94408876872386,197.6852565194838,0.685418853944385,50.94408876872386,7012.831890279148,0.007264410378828575,0.16666666666666666,4,candidato_modular
R3_modular_orthogonal,0.23334666933386677,4.2854693527646806,7/30,30,49.569574253207236,218.9647977906974,0.6669256747213281,49.569574253207236,7012.831890279148,0.007068410455114175,0.16666666666666666,5,pendiente_por_subventanas
R3_modular_orthogonal,0.03340668133626725,29.934131736526947,1/30,30,43.858805756287765,98.53424791574412,0.5900910803080244,43.858805756287765,7012.831890279148,0.006254079156964071,0.16666666666666666,6,pendiente_por_subventanas
R3_modular_orthogonal,0.04870974194838968,20.52977412731006,1/21,21,38.95517348827545,94.16244561938149,0.5241159673844392,38.95517348827545,7012.831890279148,0.005554842052077884,0.16666666666666666,7,pendiente_por_subventanas
R3_modular_orthogonal,0.16673334666933387,5.997600479904019,1/6,6,36.283955038117334,685.921585340834,0.4881764985865103,36.283955038117334,7012.831890279148,0.005173937662531511,0.16666666666666666,8,candidato_modular
R3_modular_orthogonal,0.06671334266853371,14.98950524737631,1/15,15,35.50191925679862,88.55417045007832,0.4776547269358599,35.50191925679862,7012.831890279148,0.005062422686334416,0.16666666666666666,9,pendiente_por_subventanas
R3_modular_orthogonal,0.07571514302860573,13.207397622192865,1/13,13,34.840177870805114,209.68559424372808,0.4687514364195773,34.840177870805114,7012.831890279148,0.004968061179264671,0.16666666666666666,10,pendiente_por_subventanas
R3_modular_orthogonal,0.20964192838567713,4.770038167938932,4/19,19,34.2666833963546,128.83979638585095,0.4610354494440161,34.2666833963546,7012.831890279148,0.004886283306441929,0.16666666666666666,11,pendiente_por_subventanas
R3_modular_orthogonal,0.21054210842168433,4.749643705463183,4/19,19,33.50492545385073,175.62265295543588,0.45078650263677467,33.50492545385073,7012.831890279148,0.004777659863812457,0.16666666666666666,12,pendiente_por_subventanas
