index,R0_desingularized,R1_mean_centered,R2_log_detrended,R3_modular_orthogonal
153,0.9235544419373856,0.07345234650695276,0.048160105948929055,0.01793637132868597
154,0.8236712086058372,-0.0264308868245956,-0.05165744425434282,-0.04405416685295523
155,0.9413777966365217,0.09127570120608886,0.06611440720125261,0.07698537590356885
156,1.0349317466137253,0.18482965118329253,0.15973320622962262,0.10554980106106313
157,0.7679894063079402,-0.08211268912249259,-0.10714469416999783,-0.06967020182617446
158,0.8578331208179715,0.00773102538753867,-0.01723694376840801,0.01940671578094622
159,0.9061262378301443,0.05602414239971154,0.031119810155216476,0.0118006892844094
160,1.0313887529436747,0.1812866575132419,0.15644556814106936,0.13238739466623206
161,0.7146326654525943,-0.1354694299778385,-0.16024766566705928,-0.15785298579404983
162,0.9975619359832559,0.14745984055282313,0.12274407411795463,0.09883772642701731
163,0.825450765095897,-0.024651330334535815,-0.049305007269704326,-0.039811934143630184
164,0.6016015910801426,-0.24850050435029025,-0.2730924669511887,-0.22108842841574264
165,1.105464752670468,0.25536265724003515,0.23083203831450938,0.18017736639065873
166,0.7972927364831357,-0.0528093589472971,-0.07727900043053015,-0.06760264405575153
167,0.8276327629657944,-0.022469332464638447,-0.046878358391639896,-0.010611286007067348
168,0.9134335984668422,0.06333150303640944,0.03898273504965777,0.007106746258137432
169,0.7991398409268653,-0.050962254503567506,-0.07525111797110595,-0.06545868231921047
170,0.9680487913646626,0.1179466959342298,0.09371738768643123,0.09273819912894712
171,0.8839279898745992,0.03382589444416639,0.009655796166517683,-0.0224706044262146
172,0.7591981891096222,-0.09090390632081058,-0.11501513589804402,-0.07881388115068093
173,0.7966070552699195,-0.05349504016051332,-0.07754773839563256,-0.05416742724385113
174,0.879089588269924,0.028987492839491202,0.0049929924327554165,-0.031453002468672255
175,0.9563475728169364,0.10624547738650358,0.08230884507364333,0.0723354953708398
176,0.8626499324973951,0.012547837066962275,-0.01133125317118222,-0.006445482798871234
177,0.9605138208734499,0.11041172544301714,0.08658985491333315,0.06624870915521455
178,0.7939758903324824,-0.05612620509795041,-0.07989117469357654,-0.052742795727822256
179,0.762842652161385,-0.08725944326904778,-0.11096782717286502,-0.07014235449372759
180,1.021743218815205,0.1716411233847721,0.14798901340428494,0.10596381073039841
181,0.8424687441992927,-0.007633351231140062,-0.03122949564010924,-0.03823221470001585
182,0.7243224546343275,-0.12577964079610526,-0.14932012462456068,-0.12472574502913404
183,0.9648121464453548,0.11471005101492204,0.09122492608213595,0.0734801668032524
184,0.8193272816825969,-0.03077481374783586,-0.0542048782171064,-0.05228367070396891
185,0.7917895908559424,-0.05831250457449044,-0.08168780381203122,-0.06064592673743225
186,1.0062565661226075,0.1561544706921747,0.13283364460373925,0.09341118091680936
187,0.8541725314047396,0.004070435974306785,-0.019196205948605716,-0.005424826518228297
188,0.8550575906879184,0.00495549525748562,-0.0182572484335064,0.00902805479163436
189,0.9204707845553972,0.07036868912496441,0.047209560734238765,0.022279307320502848
